name,phone,website,facebook,instagram,latlon,address,town,keywords
Footprints Farm,724-329-8254,https://footprintsfarm4u.com/,https://www.facebook.com/footprintsfarmfayette/,,"39.726541, -79.613853","184 Mcclelland Ln, Gibbon Glade, PA 15440",Gibbon Glade,"farm, sheep, goats, beef, pork, poultry, eggs, vegetables, produce, herbs"
Get a Hobby!,724-438-7246,http://www.getahobby.net,https://www.facebook.com/getahobby15401/,,"39.900919, -79.726569","35 W Main St, Uniontown, Pennsylvania 15401",Uniontown,"R/C cars, RC, drones, planes, hobby supplies, trains"
Goodie Girls,724-880-9822,https://goodiegirlscakeshoppe.com,https://www.facebook.com/tastycakespa/,,"39.901021, -79.728615","90 W Main St, Uniontown, Pennsylvania 15401",Uniontown,"cakes, bakery"
Paula's Cookies and More,724-320-5259,,https://www.facebook.com/paulascookiesandmore,,"39.899985, -79.725161","39 Beeson Ave, Uniontown, PA 15401",Uniontown,"cakes, cookies, pies, bakery"
Pepperberries,724-430-0703,http://www.pepperberries.info/,https://www.facebook.com/Pepperberries-179278658841658/,https://www.instagram.com/Pepperberries1/,"39.900740, -79.729929","129 West Main St, Uniontown, PA 15401",Uniontown,"Seasonal home decor, wine, artisan-made fashion accessories"
Redrange Farm,724-963-6192,https://www.redrangefarm.com,https://www.facebook.com/redrangefarm/,,"39.915399, -79.836365","590 Footedale Road, New Salem, Pennsylvania 15468",New Salem,"farm, sheep, goats, vegetables, herbs, poultry, eggs, produce"
Sullivan Brothers Coffee Company,724-498-4848,http://sullivanbrotherscoffee.com/,https://www.facebook.com/SullivanBrosCoffee/,https://www.instagram.com/sullivan_brothers_coffee/,"39.902088, -79.725753","23 N Beeson Blvd, Uniontown, PA 15401",Uniontown,"Coffee, food, restaurant, art"
Titlow Tavern & Grille,724-437-6749,http://www.titlowtavern.net/,https://www.facebook.com/The-Titlow-Tavern-and-Grille-289513952982/,https://www.instagram.com/titlowtavern/,"39.901002, -79.728758","92 W Main St, Uniontown, PA 15401",Uniontown,"restaurant, american and italian cuisine, tavern"
Christner Farms,724-529-3131,http://www.christnerfarms.com/,https://www.facebook.com/ChristnerFarms/,,"40.077927, -79.622442","800 Scottdale Dawson Road, Dawson, PA 15428",Dawson,"farm, produce, vegetables"
Duda's Farm,724-246-7601,http://www.dudasfarm.com,https://www.facebook.com/DudasFarmInc/,,"39.977283, -79.884098","157 Creek Road, Brownsville, PA 15417",Brownsville,"farm, produce, vegetables, fruit, herbs"
